APK name,Aggresive Setting,MITM Captured,Certificate Warning,Comment,Note
com.merxury.blocker,UNKNOWN,UNKNOWN,UNKNOWN,This app can detect all component of pre-installed apps and third-party apps. It can block each component in other apps with sufficient permission access,
com.mi.globalbrowser.mini,TRUE,TRUE,TRUE,,
com.mini.web.browser,FALSE,TRUE,TRUE,,
com.mobisoft.webguard,UNKNOWN,UNKNOWN,UNKNOWN,VPN based apps. Need to pay to use this app,
com.mosoft.godzilla,TRUE,TRUE,FALSE,,
com.msw.pornblocker,UNKNOWN,UNKNOWN,UNKNOWN,VPN based apps. DNS-based filtering to block porn,
com.mw.applockerblocker,UNKNOWN,UNKNOWN,UNKNOWN,Apps blocker. Can use VPN to block apps and ads. Need to setup pattern everytime accessing this app,
com.mx.browser,TRUE,TRUE,TRUE,,
com.nationaledtech.spinbrowser,FALSE,TRUE,TRUE,almost all conection refused due to untrusted connection,
com.naver.whale,FALSE,TRUE,FALSE,,
com.nitron.mintbrowser,TRUE,TRUE,FALSE,,
com.noad.it,UNKNOWN,UNKNOWN,UNKNOWN,VPN based apps. Need to register and pay befor using,
com.nordvpn.android,UNKNOWN,UNKNOWN,UNKNOWN,VPN based apps. Need to register. There is some flow to apsflyer (ads library),
com.notic,UNKNOWN,UNKNOWN,UNKNOWN,Plugin apps for existing browser to block notification and customize notification,
com.notification.cleaner,UNKNOWN,UNKNOWN,UNKNOWN,App not responding. Potentially plugin to block the notification,
com.oh.bro,FALSE,TRUE,FALSE,,
com.OlyFox.webbrowser,FALSE,TRUE,FALSE,,
com.oorweb.uc.Activity,UNKNOWN,UNKNOWN,UNKNOWN,Block by play protect because not satisfy the privacy policy of Google Play Store,
com.opera.browsercom.opera.browser,FALSE,FALSE,FALSE,,
com.opera.browser.beta,FALSE,FALSE,FALSE,,
com.opera.mini.native,FALSE,FALSE,FALSE,,
com.opera.mini.native.beta,FALSE,FALSE,FALSE,,
com.opera.oxbrowser,TRUE,TRUE,FALSE,,
com.opera.touch,TRUE,TRUE,FALSE,,
com.orbitum.browser,FALSE,TRUE,FALSE,,
com.osiris.browser,FALSE,FALSE,FALSE,,
com.outcoder.browser,TRUE,TRUE,FALSE,,
com.pandora.browser,FALSE,FALSE,FALSE,,
com.plustwo.skipads.apk,UNKNOWN,UNKNOWN,UNKNOWN,INSTALL_FAILED_VERIFICATION_FAILURE],
com.porn.blocker.purity.browser,FALSE,FALSE,FALSE,,
com.prism.download.adblock.privacy.flash.player.incognito.private_browser.browser,FALSE,FALSE,FALSE,,
com.protectstar.firewall,UNKNOWN,UNKNOWN,UNKNOWN,VPN based apps,
com.psafe.vpn,UNKNOWN,UNKNOWN,UNKNOWN,VPN based apps,
com.pt.tool.away,UNKNOWN,UNKNOWN,UNKNOWN,Plugin apps ,
com.pure.mini.browser,TRUE,TRUE,FALSE,,
com.qk.search.browser,TRUE,TRUE,FALSE,,
com.rabbit.incognito.browser,TRUE,FALSE,FALSE,,
com.rhaon.ad_skip,UNKNOWN,UNKNOWN,UNKNOWN,Plugin apps. Need accessibility permission in Android system. Loading google adds when apps run,
com.rocketshipapps.adblockfast,UNKNOWN,UNKNOWN,UNKNOWN,Plugin apps for Samsung browser. Need to install from samsung browser,
com.rotech.adblock,UNKNOWN,UNKNOWN,UNKNOWN,"Plugin apps provide service to block several type of apps including video, music, general apps",
com.rotech.bloqueiaanuncios,UNKNOWN,UNKNOWN,UNKNOWN,"Plugin apps provide service to block several type of apps including video, music, general apps including google chrome",
com.rucksack.adblock.anti_tracking,UNKNOWN,UNKNOWN,UNKNOWN,VPN based apps,
com.rucksack.adblock,UNKNOWN,UNKNOWN,UNKNOWN,VPN based apps,
com.sahani2020.blaze,TRUE,FALSE,TRUE,,
com.saschaha.browser,FALSE,TRUE,FALSE,,
com.securebrowser.private.safesearch.adblock,TRUE,FALSE,FALSE,,
com.segfaultstudios.suckmyads,UNKNOWN,UNKNOWN,UNKNOWN,Plugin apps. Block only listed ads link. The list should type manually.,
com.seven.adclear.fsb,UNKNOWN,UNKNOWN,UNKNOWN,Plugin for Samsung and Yandex Browser. Also provide DNS ads clear connection ,
