org.mozilla.focus,Browser,,,
org.torproject.torbrowser_alpha,Browser,,,
org.triple.banana,Browser,,,
pcr.browser.polarity,Browser,,,
popup.ads.detector,Pluggin,General,,
pure.lite.browser,Browser,,,
reactivephone.msearch,Browser,,,
ru.sputnik.browser,Browser,,,
s.sdownload.adblockerultimatebrowser,Browser,,,
to.freedom.android2,Pluggin,General,,
trim.altict.com,Browser,,,
trim.altict.comtrim.altict.com,Browser,,Blocking image,
