file_name,activities,exp_act,services,exp_serv,receivers,exp_rec,providers,exp_prov
com.ehawk.antivirus.applock.wifi.apk,145,20,21,13,33,28,20,3
com.getfilefrom.browserdownloader.apk,8,1,6,1,4,3,2,0
com.rabbit.incognito.browser.apk,11,1,4,0,1,0,2,0
com.jimeem.fast.lite.browser.apk,10,2,2,0,0,0,0,0
com.mi.globalbrowser.mini.apk,18,7,9,2,6,3,8,1
net.onecook.browser.apk,14,0,4,2,5,2,2,0
org.adblockplus.adblockplussbrowser.apk,1,0,1,0,1,1,1,1
com.nordvpn.android.apk,39,7,19,7,9,4,4,0
jp.myumyu.piggybrowser.apk,2,0,0,0,0,0,0,0
com.ume.browser.oemtn.apk,25,5,9,4,8,6,6,0
com.adblocker.turbo.browser.apk,68,28,55,5,17,8,3,2
com.browser.yo.indian.apk,35,4,10,4,2,1,3,0
com.psafe.vpn.apk,51,1,29,9,12,5,9,0
com.lostnet.fw.free.apk,14,1,3,1,5,5,0,0
com.mobisoft.webguard.apk,14,2,8,2,3,3,0,0
com.browser.securebrowser.apk,13,5,13,1,9,5,9,0
browser4g.fast.internetwebexplorer.apk,13,5,8,3,6,5,2,0
com.eagle.web.browser.internet.privacy.browser.apk,11,1,7,2,3,2,3,0
com.modi.indianbrowser.makeinindia.apk,10,1,2,0,0,0,0,0
com.fulldive.mobile.apk,12,1,16,5,7,4,4,0
com.nitron.mintbrowser.apk,15,1,5,2,3,2,3,0
mark.via.gp.apk,14,0,0,0,0,0,2,1
com.cosmic.webbrowser.apk,3,0,0,0,1,1,0,0
mobi.mgeek.browserfaster.apk,3,0,1,1,0,0,0,0
com.wEnergy_8014098.apk,30,4,22,2,11,8,1,0
app.stampy.browser.apk,9,2,9,1,0,0,2,0
com.sec.android.app.sbrowser.beta.apk,104,42,54,4,40,18,23,11
com.github.xfalcon.vhosts.apk,3,0,2,2,2,2,0,0
fast.secure.light.browser.apk,21,1,7,4,3,2,4,0
com.wFroggiBrowser_7729895.apk,31,4,18,2,11,8,1,0
com.seven.adclear.fsb.apk,4,0,3,0,3,3,2,1
org.mobilob.google.apk,17,0,0,0,1,1,2,2
net.rocket.browser.apk,4,3,0,0,0,0,0,0
com.chimbori.hermitcrab.apk,10,5,7,4,5,3,4,0
com.mx.browser.apk,290,16,15,3,5,4,22,0
com.wsandroid.suite.apk,159,5,53,10,65,21,9,0
pcr.browser.polarity.apk,4,3,0,0,0,0,0,0
com.oorweb.uc.Activity.apk,42,1,4,0,1,1,0,0
com.hawk.android.browser.apk,45,16,14,6,14,13,7,3
com.lookout.apk,69,8,28,6,23,15,1,0
co.madseven.browser.apk,73,32,81,6,24,9,6,2
com.prism.download.adblock.privacy.flash.player.incognito.private_browser.browser.apk,8,6,0,0,0,0,1,0
com.wavesnet.www.mybrowsernew.apk,1,0,0,0,0,0,0,0
com.coccoc.trinhduyet.apk,83,0,95,0,29,0,7,0
org.malwarebytes.antimalware.apk,36,5,20,5,21,10,5,0
com.mebrowser.webapp.apk,12,3,6,2,5,3,1,0
com.cosmic.privacybrowser.apk,4,3,0,0,0,0,1,0
com.funn24time.fanbrowser.apk,10,1,2,0,0,0,0,0
com.dolphin.browser.engine.apk,2,1,1,1,0,0,0,0
com.tenta.android.apk,28,4,5,1,5,4,2,0
com.sec.android.app.sbrowser.apk,104,42,54,4,40,17,23,11
com.omigo.app.apk,41,1,11,2,5,2,5,0
mobi.mgeek.TunnyBrowser.apk,68,10,15,2,19,9,8,1
com.rocketshipapps.adblockfast.apk,2,0,3,0,2,2,1,1
com.bravo.rebbitbrowser.apk,16,2,7,2,3,2,3,0
com.udicorn.proxybrowser.unblockwebsites.apk,10,3,7,4,3,2,4,0
com.eset.ems2.gp.apk,14,3,10,6,5,4,3,0
com.wTricera_7848804.apk,31,4,18,2,11,8,1,0
com.evda.connecttor.apk,8,1,5,2,4,3,5,0
com.insafedev.browser.apk,108,13,35,11,16,10,11,2
com.omigo.browser.apk,36,1,7,3,3,2,3,0
com.UCMobile.intl.apk,54,26,47,12,19,11,11,1
