file_name,activities,exp_act,services,exp_serv,receivers,exp_rec,providers,exp_prov
mvvmappiappi.mvvmappiappi.apk,16,0,0,0,0,0,1,0
com.seven.adclear.fsb.apk,3,1,2,0,1,1,1,1
zerolab.android.pdown.apk,10,2,5,0,2,1,2,0
com.mwm.thequest.apk,2,0,0,0,0,0,0,0
net.rocket.browser.apk,4,3,0,0,0,0,0,0
gl.msk.bro.apk,6,5,0,0,0,0,0,0
com.chimbori.hermitcrab.apk,6,2,6,4,6,5,1,0
com.mx.browser.apk,32,8,10,1,10,6,4,3
com.oorweb.uc.Activity.apk,42,1,4,0,1,1,0,0
com.lookout.apk,109,13,27,5,27,20,0,0
edu.berkeley.icsi.netalyzr.android.apk,17,2,3,0,1,0,1,1
com.mobligation.timberbrowser.apk,17,3,8,3,4,3,2,1
io.snapbrowser.lite.apk,7,1,2,0,0,0,0,0
com.dolphin.browser.engine.apk,2,1,1,1,0,0,0,0
jp.co.fenrir.android.sleipnir.apk,21,2,1,0,1,1,0,0
com.prbstudios.firebird.apk,15,11,1,0,2,1,0,0
com.ifreedomv2.apk,22,0,2,0,0,0,0,0
mobi.mgeek.TunnyBrowser.apk,66,9,11,0,14,9,6,1
com.kubopirez.fast.speed.internet.browser.apk,11,9,0,0,0,0,0,0
com.rocketshipapps.adblockfast.apk,1,0,4,0,3,3,2,1
com.cloudmosa.puffinFree.apk,6,0,1,0,1,1,0,0
com.trustgo.addetector.apk,5,0,0,0,2,2,1,0
me.disconnect.securefi.apk,8,0,2,1,1,1,1,1
com.evda.connecttor.apk,14,2,2,1,2,2,0,0
com.ctlgmedia.voicemessage.apk,5,0,2,1,1,1,0,0
com.UCMobile.intl.apk,20,10,29,6,17,12,2,1
