file_name,activities,exp_act,services,exp_serv,receivers,exp_rec,providers,exp_prov
com.tenta.android.apk,5,1,8,1,14,6,3,0
dnsfilter.android.apk,1,0,1,1,1,1,0,0
com.gobest.goclean.apk,32,0,4,0,4,4,1,0
com.segfaultstudios.suckmyads.apk,2,0,2,1,4,2,1,0
mobi.mgeek.TunnyBrowser.apk,68,9,11,1,15,7,9,1
com.rocketshipapps.adblockfast.apk,2,0,3,0,2,2,1,1
com.osiris.browser.apk,71,31,75,5,20,8,4,2
com.rotech.bloqueiaanuncios.apk,2,0,0,0,0,0,1,0
com.thefrenchsoftware.radiomusicbox.apk,10,0,2,0,3,2,3,0
adsblocker.adsskiper.adsblockerbrowser.cuckoo.apk,18,3,23,4,10,6,1,0
com.skipads.skipyoutubeadsandcommercials.apk,13,0,11,3,9,0,3,0
com.udicorn.proxybrowser.unblockwebsites.apk,21,5,17,4,11,2,7,0
com.eset.ems2.gp.apk,18,5,15,7,12,3,4,0
com.khashayar.netshield.browsers.apk,12,2,8,1,3,1,3,0
com.UCMobile.intl.apk,64,27,67,16,32,13,15,1
