file_name,class_name,package_component,detail
com.keepsolid.privatebrowser.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
com.browser.tssomas.apk,classes.dex,compiler,['r8']
com.getfilefrom.browserdownloader.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
com.rabbit.incognito.browser.apk,classes.dex,compiler,['r8']
com.jimeem.fast.lite.browser.apk,classes.dex,compiler,['r8']
com.epic.browser.apk,classes.dex,compiler,['r8 without marker (suspicious)']
com.mi.globalbrowser.mini.apk,classes.dex,compiler,['r8']
net.onecook.browser.apk,classes.dex,compiler,['unknown (please file detection issue!)']
org.adblockplus.adblockplussbrowser.apk,classes.dex,compiler,['unknown (please file detection issue!)']
com.nordvpn.android.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
jp.myumyu.piggybrowser.apk,classes.dex,compiler,['r8']
com.familyfirsttechnology.pornblocker.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
com.adblocker.turbo.browser.apk,classes.dex,compiler,['dx']
com.browser.yo.indian.apk,classes4.dex,compiler,['r8 without marker (suspicious)']
com.psafe.vpn.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.cobalt.app.browser.apk,classes3.dex,compiler,['dx']
com.av1rus.adblockremover.apk,classes.dex,compiler,['dx']
com.lostnet.fw.free.apk,lib/armeabi-v7a/libaccount3.so,obfuscator,['Obfuscator-LLVM version 3.4']
com.jawaid.firebrowser.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.pandora.browser.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
cm.browser.privatewindow.download.apk,classes.dex,compiler,['dexlib 2.x']
com.mobisoft.webguard.apk,classes.dex,compiler,['unknown (please file detection issue!)']
com.browser.securebrowser.apk,classes.dex,compiler,['dx']
browser4g.fast.internetwebexplorer.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.eagle.web.browser.internet.privacy.browser.apk,classes.dex,compiler,['r8']
com.nitron.mintbrowser.apk,classes.dex,compiler,['r8']
mark.via.gp.apk,classes.dex,compiler,['unknown (please file detection issue!)']
mobi.mgeek.browserfaster.apk,classes.dex,manipulator,['dexmerge']
com.blocker.adblockxprotector.apk,classes.dex,compiler,['r8']
app.stampy.browser.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
fast.secure.light.browser.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
com.seven.adclear.fsb.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.techproof.websiteblocker.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
org.mobilob.google.apk,classes.dex,manipulator,['dexmerge']
com.elrond.maiar.apk,classes.dex,compiler,['r8']
com.kuto.browser.apk,classes.dex,compiler,['r8']
com.noad.it.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
com.chimbori.hermitcrab.apk,classes.dex,compiler,['r8']
com.mx.browser.apk,classes2.dex,compiler,['dx']
krow.dev.addetector.apk,classes.dex,manipulator,['dexmerge']
com.pt.tool.away.apk,classes.dex,obfuscator,"['unreadable field names', 'unreadable method names']"
entertainment.privatebrowser.vnstore.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
pcr.browser.polarity.apk,classes.dex,compiler,['dx']
com.oorweb.uc.Activity.apk,classes.dex,manipulator,['dexmerge']
com.cookiegames.smartcookie.apk,classes.dex,compiler,['r8']
com.lookout.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
co.madseven.browser.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
matt.playtube.videotube.vancedtube.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.prism.download.adblock.privacy.flash.player.incognito.private_browser.browser.apk,classes.dex,compiler,['dx']
com.coccoc.trinhduyet.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
org.malwarebytes.antimalware.apk,classes.dex,obfuscator,['unreadable field names']
com.blocking.sites.apk,classes2.dex,compiler,['dx']
com.mebrowser.webapp.apk,classes2.dex,compiler,['dx']
com.mosoft.godzilla.apk,classes.dex,compiler,['r8']
com.atominvention.atombrowser.apk,classes.dex,compiler,['r8']
com.appspot.swisscodemonkeys.detector.apk,classes.dex,compiler,['r8']
com.dolphin.browser.engine.apk,classes.dex,compiler,['dx']
cz.mobilesoft.appblock.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.tenta.android.apk,classes4.dex,compiler,['r8 without marker (suspicious)']
dnsfilter.android.apk,classes.dex,compiler,['r8']
com.gobest.goclean.apk,classes.dex,obfuscator,"['unreadable field names', 'unreadable method names']"
com.segfaultstudios.suckmyads.apk,classes.dex,manipulator,['dexmerge']
mobi.mgeek.TunnyBrowser.apk,classes2.dex,compiler,['dx']
com.rocketshipapps.adblockfast.apk,classes.dex,manipulator,['dexmerge']
com.osiris.browser.apk,classes.dex,compiler,['r8 without marker (suspicious)']
com.rotech.bloqueiaanuncios.apk,classes.dex,compiler,['r8']
com.thefrenchsoftware.radiomusicbox.apk,classes.dex,compiler,['unknown (please file detection issue!)']
adsblocker.adsskiper.adsblockerbrowser.cuckoo.apk,classes.dex,compiler,['dx']
com.skipads.skipyoutubeadsandcommercials.apk,classes.dex,compiler,['r8']
com.udicorn.proxybrowser.unblockwebsites.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.eset.ems2.gp.apk,classes.dex,compiler,['r8']
com.khashayar.netshield.browsers.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.UCMobile.intl.apk,lib/armeabi-v7a/libsgsecuritybody.so!classes.dex,compiler,['dx']
